fire_co_num,fire_bn,fire_co_type,fire_div,company_name,response_times,incident_count,date
29,14,L,6,Ladder 29,268.7352941176471,34,2018-4
3,6,L,1,Ladder 3,296.675,80,2018-4
30,16,L,6,Ladder 30,312.75581395348837,86,2018-4
31,26,L,6,Ladder 31,296.72340425531917,94,2018-4
33,19,L,7,Ladder 33,310.51666666666665,60,2018-4
39,15,L,7,Ladder 39,392.3333333333333,63,2018-4
40,11,L,3,Ladder 40,313.14102564102564,78,2018-4
41,20,L,7,Ladder 41,329.0,1,2018-4
44,17,L,6,Ladder 44,332.1904761904762,42,2018-4
47,3,L,6,Ladder 47,381.55555555555554,117,2018-4
132,38,L,15,Ladder 132,313.26881720430106,93,2018-4
5,2,L,1,Ladder 5,359.4193548387097,62,2018-4
53,20,L,7,Ladder 53,0.0,0,2018-4
55,14,L,6,Ladder 55,297.6111111111111,90,2018-4
56,18,L,7,Ladder 56,372.8181818181818,22,2018-4
18,2,Q,1,Squad 18,285.85714285714283,28,2018-4
270,50,Q,13,Squad 270,262.6865671641791,67,2018-4
41,14,Q,6,Squad 41,281.1509433962264,53,2018-4
328,47,E,13,Engine 328,286.5686274509804,51,2018-4
134,47,L,13,Ladder 134,304.0508474576271,59,2018-4
33,6,E,1,Engine 33,287.3958333333333,96,2018-4
210,31,E,11,Engine 210,261.8474576271187,59,2018-4
313,53,E,14,Engine 313,297.3333333333333,36,2018-4
119,31,L,11,Ladder 119,241.09756097560975,41,2018-4
22,11,L,3,Ladder 22,330.38993710691824,159,2018-4
159,33,L,15,Ladder 159,327.27272727272725,44,2018-4
73,26,E,6,Engine 73,309.6829268292683,82,2018-4
330,42,E,8,Engine 330,261.7567567567568,37,2018-4
58,12,E,3,Engine 58,316.616,125,2018-4
274,52,E,14,Engine 274,299.34090909090907,44,2018-4
167,53,L,14,Ladder 167,329.72972972972974,37,2018-4
250,41,E,15,Engine 250,276.0263157894737,38,2018-4
252,37,Q,15,Squad 252,213.375,24,2018-4
281,41,E,15,Engine 281,225.97260273972603,73,2018-4
6,4,L,1,Ladder 6,282.8627450980392,51,2018-4
153,33,L,15,Ladder 153,260.35714285714283,28,2018-4
276,33,E,15,Engine 276,280.125,72,2018-4
303,50,E,13,Engine 303,293.6170212765957,94,2018-4
133,50,L,13,Ladder 133,290.1686746987952,83,2018-4
138,46,L,14,Ladder 138,280.95,80,2018-4
255,41,E,15,Engine 255,244.83333333333334,42,2018-4
254,33,E,15,Engine 254,230.48717948717947,39,2018-4
170,58,L,15,Ladder 170,337.7142857142857,98,2018-4
157,41,L,15,Ladder 157,211.8507462686567,67,2018-4
3,7,E,1,Engine 3,407.5681818181818,44,2018-4
263,49,E,14,Engine 263,342.1363636363636,44,2018-4
207,31,E,11,Engine 207,260.0571428571429,35,2018-4
76,23,L,8,Ladder 76,306.2692307692308,26,2018-4
279,32,E,11,Engine 279,334.5,60,2018-4
127,50,L,13,Ladder 127,310.4875,80,2018-4
239,48,E,11,Engine 239,234.28070175438597,57,2018-4
226,31,E,11,Engine 226,255.26153846153846,65,2018-4
26,12,L,3,Ladder 26,323.0643274853801,171,2018-4
86,22,L,8,Ladder 86,406.0,19,2018-4
8,22,Q,8,Squad 8,313.78125,32,2018-4
1,48,Q,11,Squad 1,246.25,20,2018-4
82,23,L,8,Ladder 82,322.72727272727275,44,2018-4
154,49,L,14,Ladder 154,321.01785714285717,112,2018-4
251,53,E,14,Engine 251,365.31481481481484,54,2018-4
292,46,E,14,Engine 292,314.3939393939394,99,2018-4
162,53,L,14,Ladder 162,314.1666666666667,54,2018-4
116,45,L,14,Ladder 116,348.6909090909091,55,2018-4
163,49,L,14,Ladder 163,330.625,72,2018-4
172,42,L,8,Ladder 172,289.0,19,2018-4
234,38,E,15,Engine 234,253.72727272727272,132,2018-4
288,46,Q,14,Squad 288,288.6181818181818,55,2018-4
128,45,L,14,Ladder 128,318.93548387096774,31,2018-4
168,42,L,8,Ladder 168,311.6,10,2018-4
259,45,E,14,Engine 259,338.04761904761904,42,2018-4
289,46,E,14,Engine 289,325.68817204301075,93,2018-4
76,11,E,3,Engine 76,322.2670807453416,161,2018-4
1,7,E,1,Engine 1,399.0612244897959,49,2018-4
24,7,L,1,Ladder 24,425.4583333333333,24,2018-4
91,12,E,3,Engine 91,321.64383561643837,146,2018-4
63,15,E,7,Engine 63,351.45098039215685,51,2018-4
317,54,E,13,Engine 317,313.32394366197184,71,2018-4
150,54,L,13,Ladder 150,298.36559139784947,93,2018-4
21,7,L,1,Ladder 21,331.93333333333334,15,2018-4
34,7,E,1,Engine 34,371.27777777777777,18,2018-4
54,9,E,3,Engine 54,373.2307692307692,26,2018-4
4,1,E,1,Engine 4,327.6521739130435,46,2018-4
13,10,L,3,Ladder 13,339.47222222222223,108,2018-4
35,12,E,3,Engine 35,368.24444444444447,135,2018-4
104,35,L,11,Ladder 104,251.94252873563218,87,2018-4
114,40,L,8,Ladder 114,269.6595744680851,94,2018-4
45,13,L,7,Ladder 45,281.1240310077519,129,2018-4
168,23,E,8,Engine 168,359.3076923076923,13,2018-4
280,38,E,15,Engine 280,281.07547169811323,159,2018-4
84,23,L,8,Ladder 84,315.9,20,2018-4
90,20,E,7,Engine 90,296.5833333333333,36,2018-4
320,53,E,14,Engine 320,322.1929824561403,57,2018-4
262,49,E,14,Engine 262,368.7358490566038,106,2018-4
324,46,E,14,Engine 324,286.4015151515151,132,2018-4
151,50,L,13,Ladder 151,324.43809523809523,105,2018-4
42,26,L,6,Ladder 42,284.6470588235294,51,2018-4
153,21,E,8,Engine 153,272.71774193548384,124,2018-4
158,22,E,8,Engine 158,272.96774193548384,62,2018-4
166,22,E,8,Engine 166,270.55555555555554,72,2018-4
2,8,L,3,Ladder 2,322.16129032258067,31,2018-4
96,3,E,6,Engine 96,330.72727272727275,55,2018-4
24,2,E,1,Engine 24,290.86206896551727,87,2018-4
8,2,L,1,Ladder 8,338.3448275862069,58,2018-4
54,3,L,6,Ladder 54,351.81102362204723,127,2018-4
146,35,L,11,Ladder 146,349.16,50,2018-4
78,21,L,8,Ladder 78,269.92857142857144,42,2018-4
21,8,E,3,Engine 21,349.0731707317073,41,2018-4
7,8,L,3,Ladder 7,336.04651162790697,43,2018-4
165,54,L,13,Ladder 165,344.04545454545456,44,2018-4
306,53,E,14,Engine 306,355.84507042253523,71,2018-4
297,52,E,14,Engine 297,320.3488372093023,43,2018-4
37,11,E,3,Engine 37,291.256,125,2018-4
80,16,E,6,Engine 80,308.672268907563,119,2018-4
307,49,E,14,Engine 307,310.5890410958904,73,2018-4
117,49,L,14,Ladder 117,329.26153846153846,65,2018-4
47,11,E,3,Engine 47,282.11299435028246,177,2018-4
161,21,E,8,Engine 161,319.6060606060606,33,2018-4
243,42,E,8,Engine 243,291.51851851851853,27,2018-4
149,42,L,8,Ladder 149,276.8,30,2018-4
105,57,L,11,Ladder 105,226.0,62,2018-4
81,21,L,8,Ladder 81,342.1923076923077,26,2018-4
242,42,E,8,Engine 242,274.77142857142854,35,2018-4
32,27,L,7,Ladder 32,293.07272727272726,55,2018-4
51,15,L,7,Ladder 51,329.7042253521127,71,2018-4
161,43,L,8,Ladder 161,276.13461538461536,52,2018-4
316,49,E,14,Engine 316,290.03370786516854,89,2018-4
61,15,L,7,Ladder 61,350.84313725490193,51,2018-4
49,17,L,6,Ladder 49,297.0,57,2018-4
59,19,L,7,Ladder 59,379.5189873417722,79,2018-4
241,40,E,8,Engine 241,280.94117647058823,34,2018-4
205,32,E,11,Engine 205,281.6190476190476,42,2018-4
224,32,E,11,Engine 224,314.4153846153846,65,2018-4
110,31,L,11,Ladder 110,347.51428571428573,70,2018-4
109,40,L,8,Ladder 109,269.7083333333333,24,2018-4
221,35,E,11,Engine 221,292.02702702702703,74,2018-4
314,54,E,13,Engine 314,371.3382352941176,68,2018-4
50,26,E,6,Engine 50,365.56410256410254,78,2018-4
19,26,L,6,Ladder 19,301.20754716981133,53,2018-4
290,39,E,15,Engine 290,276.0091743119266,109,2018-4
260,45,E,14,Engine 260,335.6231884057971,138,2018-4
162,23,E,8,Engine 162,300.1923076923077,26,2018-4
165,23,E,8,Engine 165,390.8636363636364,44,2018-4
106,28,L,11,Ladder 106,295.3623188405797,69,2018-4
312,49,E,14,Engine 312,302.3,60,2018-4
137,47,L,13,Ladder 137,274.3809523809524,21,2018-4
265,47,E,13,Engine 265,268.23728813559325,59,2018-4
121,47,L,13,Ladder 121,299.2238805970149,67,2018-4
329,47,E,13,Engine 329,332.4375,16,2018-4
66,15,E,7,Engine 66,326.8333333333333,102,2018-4
169,43,L,8,Ladder 169,316.9130434782609,46,2018-4
323,58,E,15,Engine 323,300.9230769230769,26,2018-4
101,32,L,11,Ladder 101,272.8666666666667,45,2018-4
166,43,L,8,Ladder 166,278.70212765957444,47,2018-4
331,51,E,13,Engine 331,328.67857142857144,28,2018-4
37,27,L,7,Ladder 37,343.9255319148936,94,2018-4
309,33,E,15,Engine 309,252.0,27,2018-4
321,33,E,15,Engine 321,294.64516129032256,62,2018-4
126,50,L,13,Ladder 126,263.2439024390244,123,2018-4
202,32,E,11,Engine 202,308.375,16,2018-4
107,39,L,15,Ladder 107,269.4019138755981,209,2018-4
233,44,E,15,Engine 233,209.9375,48,2018-4
85,23,L,8,Ladder 85,305.4782608695652,46,2018-4
305,50,E,13,Engine 305,365.9642857142857,56,2018-4
319,46,E,14,Engine 319,356.9066666666667,75,2018-4
301,54,E,13,Engine 301,269.55555555555554,63,2018-4
326,53,E,14,Engine 326,330.2307692307692,26,2018-4
82,26,E,6,Engine 82,345.77777777777777,72,2018-4
58,18,L,7,Ladder 58,311.6166666666667,60,2018-4
72,20,E,7,Engine 72,401.98591549295776,71,2018-4
52,27,E,7,Engine 52,440.5689655172414,58,2018-4
315,50,E,13,Engine 315,280.9811320754717,106,2018-4
144,52,L,14,Ladder 144,352.76237623762376,101,2018-4
295,52,E,14,Engine 295,324.61290322580646,62,2018-4
130,52,L,14,Ladder 130,431.3333333333333,15,2018-4
81,19,E,7,Engine 81,343.8411214953271,107,2018-4
284,42,E,8,Engine 284,253.04166666666666,48,2018-4
299,52,E,14,Engine 299,340.7391304347826,69,2018-4
129,52,L,14,Ladder 129,423.12,25,2018-4
89,20,E,7,Engine 89,405.8095238095238,21,2018-4
16,10,L,3,Ladder 16,371.5809523809524,105,2018-4
102,57,L,11,Ladder 102,268.32,150,2018-4
155,21,E,8,Engine 155,291.5692307692308,65,2018-4
22,10,E,3,Engine 22,362.5056179775281,89,2018-4
131,32,L,11,Ladder 131,247.86666666666667,45,2018-4
84,13,E,7,Engine 84,324.51428571428573,140,2018-4
245,43,E,8,Engine 245,290.85714285714283,63,2018-4
318,43,E,8,Engine 318,265.04347826086956,23,2018-4
157,22,E,8,Engine 157,232.28571428571428,35,2018-4
80,22,L,8,Ladder 80,271.40625,64,2018-4
163,22,E,8,Engine 163,328.10526315789474,38,2018-4
79,22,L,8,Ladder 79,254.04225352112675,71,2018-4
293,51,E,13,Engine 293,323.84615384615387,26,2018-4
95,13,E,7,Engine 95,306.2089552238806,67,2018-4
83,22,L,8,Ladder 83,295.3625,80,2018-4
39,10,E,3,Engine 39,338.51485148514854,101,2018-4
8,8,E,3,Engine 8,361.42857142857144,21,2018-4
152,21,E,8,Engine 152,253.68333333333334,60,2018-4
236,39,E,15,Engine 236,297.8363636363636,55,2018-4
44,10,E,3,Engine 44,375.7070707070707,99,2018-4
64,3,E,6,Engine 64,322.3818181818182,55,2018-4
50,20,L,7,Ladder 50,333.77272727272725,22,2018-4
125,50,L,13,Ladder 125,307.7480916030534,131,2018-4
34,13,L,7,Ladder 34,322.83870967741933,93,2018-4
152,52,L,14,Ladder 152,313.3775510204082,98,2018-4
26,7,E,1,Engine 26,436.375,24,2018-4
4,9,L,3,Ladder 4,373.258064516129,31,2018-4
287,46,E,14,Engine 287,276.6031746031746,63,2018-4
93,13,E,7,Engine 93,333.0,85,2018-4
36,13,L,7,Ladder 36,338.5047619047619,105,2018-4
23,16,L,6,Ladder 23,319.8125,80,2018-4
9,6,L,1,Ladder 9,258.02666666666664,75,2018-4
69,16,E,6,Engine 69,360.0923913043478,184,2018-4
28,16,L,6,Ladder 28,277.3469387755102,49,2018-4
230,57,E,11,Engine 230,242.7826086956522,115,2018-4
286,51,E,13,Engine 286,313.1792452830189,106,2018-4
175,44,L,15,Ladder 175,235.44329896907217,97,2018-4
28,4,E,1,Engine 28,317.5105263157895,190,2018-4
136,46,L,14,Ladder 136,343.76666666666665,60,2018-4
40,9,E,3,Engine 40,357.55,40,2018-4
35,9,L,3,Ladder 35,329.9160839160839,143,2018-4
201,40,E,8,Engine 201,253.48979591836735,49,2018-4
247,40,E,8,Engine 247,266.8181818181818,44,2018-4
46,19,L,7,Ladder 46,314.7469879518072,83,2018-4
52,27,L,7,Ladder 52,404.27272727272725,55,2018-4
173,51,L,13,Ladder 173,276.969696969697,66,2018-4
151,23,E,8,Engine 151,307.88235294117646,34,2018-4
17,14,L,6,Ladder 17,264.86861313868616,137,2018-4
264,47,E,13,Engine 264,340.94736842105266,76,2018-4
97,15,E,7,Engine 97,367.59090909090907,22,2018-4
61,20,Q,7,Squad 61,382.8,5,2018-4
87,23,L,8,Ladder 87,343.93939393939394,33,2018-4
266,47,E,13,Engine 266,235.72413793103448,29,2018-4
156,22,E,8,Engine 156,290.59375,64,2018-4
71,14,E,6,Engine 71,342.20952380952383,105,2018-4
268,47,E,13,Engine 268,261.8333333333333,60,2018-4
16,8,E,3,Engine 16,358.3921568627451,51,2018-4
5,6,E,1,Engine 5,290.2758620689655,29,2018-4
164,23,E,8,Engine 164,389.95238095238096,21,2018-4
167,23,E,8,Engine 167,235.45714285714286,35,2018-4
45,18,E,7,Engine 45,287.54651162790697,86,2018-4
38,18,L,7,Ladder 38,279.24285714285713,70,2018-4
6,1,E,1,Engine 6,313.968253968254,63,2018-4
160,21,E,8,Engine 160,330.3703703703704,54,2018-4
77,21,L,8,Ladder 77,262.7755102040816,49,2018-4
53,10,E,3,Engine 53,369.43589743589746,117,2018-4
43,10,L,3,Ladder 43,335.9294117647059,170,2018-4
302,54,E,13,Engine 302,302.734375,64,2018-4
155,54,L,13,Ladder 155,366.74074074074076,81,2018-4
94,3,E,6,Engine 94,288.75,48,2018-4
48,3,L,6,Ladder 48,336.9047619047619,21,2018-4
10,1,E,1,Engine 10,336.48979591836735,49,2018-5
14,6,E,1,Engine 14,349.6,25,2018-5
15,4,E,1,Engine 15,299.99319727891157,147,2018-5
159,21,E,8,Engine 159,320.6393442622951,61,2018-5
206,28,E,11,Engine 206,270.54761904761904,42,2018-5
211,31,E,11,Engine 211,270.140350877193,57,2018-5
214,37,E,15,Engine 214,201.75862068965517,58,2018-5
216,35,E,11,Engine 216,291.8804347826087,92,2018-5
217,57,E,11,Engine 217,250.95953757225433,173,2018-5
218,28,E,11,Engine 218,267.17391304347825,23,2018-5
219,57,E,11,Engine 219,267.1014492753623,138,2018-5
220,48,E,11,Engine 220,241.890243902439,82,2018-5
222,37,E,15,Engine 222,231.099173553719,121,2018-5
225,39,E,15,Engine 225,302.63758389261744,149,2018-5
227,44,E,15,Engine 227,264.9047619047619,42,2018-5
235,57,E,11,Engine 235,216.06315789473683,95,2018-5
228,40,E,8,Engine 228,226.94230769230768,52,2018-5
229,35,E,11,Engine 229,313.7647058823529,51,2018-5
23,9,E,3,Engine 23,433.4166666666667,48,2018-5
231,44,E,15,Engine 231,275.93333333333334,210,2018-5
237,28,E,11,Engine 237,286.63461538461536,52,2018-5
238,28,E,11,Engine 238,284.22222222222223,36,2018-5
240,48,E,11,Engine 240,257.08,100,2018-5
246,43,E,8,Engine 246,286.59574468085106,47,2018-5
248,41,E,15,Engine 248,262.89772727272725,88,2018-5
249,38,E,15,Engine 249,297.7413793103448,116,2018-5
253,43,E,8,Engine 253,326.3,20,2018-5
257,58,E,15,Engine 257,280.9871794871795,78,2018-5
277,37,E,15,Engine 277,195.04761904761904,21,2018-5
258,45,E,14,Engine 258,344.2520325203252,123,2018-5
271,28,E,11,Engine 271,201.9795918367347,49,2018-5
273,52,E,14,Engine 273,276.5698924731183,93,2018-5
275,50,E,13,Engine 275,268.029702970297,101,2018-5
282,48,E,11,Engine 282,238.92380952380952,105,2018-5
283,58,E,15,Engine 283,258.13432835820896,67,2018-5
285,51,E,13,Engine 285,281.6842105263158,38,2018-5
291,45,E,14,Engine 291,295.6326530612245,49,2018-5
294,51,E,13,Engine 294,296.39285714285717,28,2018-5
42,19,E,7,Engine 42,324.92,75,2018-5
298,50,E,13,Engine 298,265.6796875,128,2018-5
304,53,E,14,Engine 304,296.873417721519,79,2018-5
308,51,E,13,Engine 308,295.15,20,2018-5
310,58,E,15,Engine 310,273.22727272727275,66,2018-5
311,54,E,13,Engine 311,251.46666666666667,45,2018-5
325,49,E,14,Engine 325,273.87692307692305,65,2018-5
332,44,E,15,Engine 332,263.88,50,2018-5
38,15,E,7,Engine 38,342.56,75,2018-5
113,38,L,15,Ladder 113,322.95360824742266,194,2018-5
43,19,E,7,Engine 43,346.4320987654321,81,2018-5
46,17,E,6,Engine 46,313.12068965517244,58,2018-5
48,18,E,7,Engine 48,311.59166666666664,120,2018-5
55,2,E,1,Engine 55,314.35897435897436,78,2018-5
115,45,L,14,Ladder 115,315.16037735849056,106,2018-5
59,16,E,6,Engine 59,329.5919540229885,174,2018-5
60,14,E,6,Engine 60,325.8034188034188,117,2018-5
62,27,E,7,Engine 62,344.3404255319149,94,2018-5
65,8,E,3,Engine 65,381.02941176470586,34,2018-5
67,13,E,7,Engine 67,327.98496240601503,133,2018-5
68,17,E,6,Engine 68,379.02941176470586,102,2018-5
74,11,E,3,Engine 74,286.216,125,2018-5
7,1,E,1,Engine 7,320.67241379310343,58,2018-5
70,20,E,7,Engine 70,0.0,0,2018-5
75,19,E,7,Engine 75,306.7027027027027,74,2018-5
79,27,E,7,Engine 79,337.9277108433735,83,2018-5
83,14,E,6,Engine 83,308.97986577181206,149,2018-5
112,37,L,15,Ladder 112,257.32,25,2018-5
88,18,E,7,Engine 88,259.546875,64,2018-5
9,4,E,1,Engine 9,341.65432098765433,81,2018-5
92,17,E,6,Engine 92,346.95454545454544,154,2018-5
1,1,L,1,Ladder 1,341.5853658536585,41,2018-5
10,1,L,1,Ladder 10,325.8333333333333,66,2018-5
103,39,L,15,Ladder 103,270.6178861788618,123,2018-5
108,35,L,11,Ladder 108,306.5126050420168,119,2018-5
11,4,L,1,Ladder 11,306.52150537634407,186,2018-5
111,37,L,15,Ladder 111,211.425,40,2018-5
118,32,L,11,Ladder 118,257.0,19,2018-5
12,7,L,1,Ladder 12,297.375,24,2018-5
120,44,L,15,Ladder 120,256.6082474226804,97,2018-5
122,48,L,11,Ladder 122,273.98591549295776,71,2018-5
123,38,L,15,Ladder 123,266.45,120,2018-5
124,28,L,11,Ladder 124,210.98901098901098,91,2018-5
135,51,L,13,Ladder 135,296.56140350877195,57,2018-5
14,12,L,3,Ladder 14,289.1016042780749,187,2018-5
140,45,L,14,Ladder 140,250.28378378378378,74,2018-5
142,51,L,13,Ladder 142,336.8965517241379,29,2018-5
143,51,L,13,Ladder 143,325.20238095238096,84,2018-5
147,41,L,15,Ladder 147,322.4148936170213,188,2018-5
148,48,L,11,Ladder 148,268.1,40,2018-5
15,1,L,1,Ladder 15,338.958904109589,73,2018-5
25,11,L,3,Ladder 25,281.3482142857143,112,2018-5
156,33,L,15,Ladder 156,300.04761904761904,21,2018-5
158,54,L,13,Ladder 158,331.06666666666666,30,2018-5
160,53,L,14,Ladder 160,372.8448275862069,58,2018-5
27,17,L,6,Ladder 27,253.23529411764707,17,2018-5
164,53,L,14,Ladder 164,329.7096774193548,31,2018-5
174,58,L,15,Ladder 174,276.8,55,2018-5
176,44,L,15,Ladder 176,288.90579710144925,138,2018-5
18,4,L,1,Ladder 18,298.24886877828055,221,2018-5
20,2,L,1,Ladder 20,288.0108695652174,92,2018-5
29,14,L,6,Ladder 29,292.3404255319149,47,2018-5
3,6,L,1,Ladder 3,293.9146341463415,82,2018-5
30,16,L,6,Ladder 30,336.82716049382714,81,2018-5
31,26,L,6,Ladder 31,297.6990291262136,103,2018-5
33,19,L,7,Ladder 33,317.6636363636364,110,2018-5
39,15,L,7,Ladder 39,353.87654320987656,81,2018-5
40,11,L,3,Ladder 40,287.1604938271605,81,2018-5
41,20,L,7,Ladder 41,273.25,4,2018-5
44,17,L,6,Ladder 44,363.8,35,2018-5
47,3,L,6,Ladder 47,391.30973451327435,113,2018-5
132,38,L,15,Ladder 132,306.42201834862385,109,2018-5
5,2,L,1,Ladder 5,338.1111111111111,63,2018-5
53,20,L,7,Ladder 53,0.0,0,2018-5
55,14,L,6,Ladder 55,285.3697478991597,119,2018-5
56,18,L,7,Ladder 56,321.39130434782606,23,2018-5
18,2,Q,1,Squad 18,256.05882352941177,34,2018-5
270,50,Q,13,Squad 270,260.16483516483515,91,2018-5
41,14,Q,6,Squad 41,276.5,56,2018-5
328,47,E,13,Engine 328,279.0769230769231,65,2018-5
134,47,L,13,Ladder 134,274.3050847457627,59,2018-5
33,6,E,1,Engine 33,289.97435897435895,78,2018-5
210,31,E,11,Engine 210,261.3783783783784,74,2018-5
313,53,E,14,Engine 313,353.04761904761904,42,2018-5
119,31,L,11,Ladder 119,231.6451612903226,31,2018-5
22,11,L,3,Ladder 22,306.9805825242718,206,2018-5
159,33,L,15,Ladder 159,291.5652173913044,46,2018-5
73,26,E,6,Engine 73,344.68932038834953,103,2018-5
330,42,E,8,Engine 330,249.71428571428572,49,2018-5
58,12,E,3,Engine 58,312.0866141732283,127,2018-5
274,52,E,14,Engine 274,338.32142857142856,56,2018-5
167,53,L,14,Ladder 167,295.30434782608694,23,2018-5
250,41,E,15,Engine 250,259.2830188679245,53,2018-5
252,37,Q,15,Squad 252,234.59375,32,2018-5
281,41,E,15,Engine 281,234.63235294117646,68,2018-5
6,4,L,1,Ladder 6,293.0125,80,2018-5
153,33,L,15,Ladder 153,252.78571428571428,28,2018-5
